symbol;Industry;Sector;Country;Year;GDP;LnGDPperCapita;EPU;TotalAssets;TotalCapitalization;TotalDebt;TotalEquityGrossMinorityInterest;TotalLiabilitiesNetMinorityInterest;TotalNonCurrentAssets;TotalNonCurrentLiabilitiesNetMinorityInterest;CashAndCashEquivalents;NetIncome;FreeCashFlow;EBIT;BasicEPS;DilutedEPS;DividendsPayable;TotalRevenue
KMAZ.ME;Farm & Heavy Construction Machinery;Industrials;Russia;2020;10169.08691;9.227107703;503.8552216;194726509.6;130426812.9;29700095.45;130426812.9;64299696.65;6600730000;2937010000;1084755.1;28952536.95;26306228.8;41286640.45;0.119296083;0.119296083;0;111892500.8
KZOS.ME;Chemicals;Basic Materials;Russia;2020;10169.08691;9.227107703;503.8552216;284891975;133116800;75869235;119279015;165612960;8027000000;1861000000;11586545;-24445530;36937465;-13323915;-0.1098703;-0.1098703;0;339606895
KZOS.ME;Chemicals;Basic Materials;Russia;2021;12194.77734;9.408763052;333.509323;285051030;151701765;64564095;140286510;144764520;8436000000;1545000000;6496785;6460080;-6056325;19257890;0.02850755;0.02801815;0;281392765
LENT.ME;Department Stores;Consumer Cyclical;Russia;2020;10169.08691;9.227107703;503.8552216;352469550.5;317259667.5;9962960.5;317259667.5;35209883;6463400000;814600000;24903119;50805837.5;73521338.5;69186478;0.0829533;0.08185215;13458.5;147184603
LENT.ME;Department Stores;Consumer Cyclical;Russia;2021;12194.77734;9.408763052;333.509323;415039340.5;379325375.5;6297354.5;379325375.5;35713965;28740300000;1016500000;2297733;83238375.5;53382528.5;107845407.5;0.1350744;0.1333615;24470;129952829
LKOH.ME;Oil & Gas Integrated;Energy;Russia;2021;12194.77734;9.408763052;333.509323;1656604318;653460338.5;252290594;669182313.5;987422004.5;27707500000;2462800000;23447154;32827728.5;77316635.5;86254303;0.053834;0.05371165;66069;962996050.5
LKOH.ME;Oil & Gas Integrated;Energy;Russia;2022;12011.85568;9.393649415;577.1421162;1768935077;700199262;159352310.5;721393952.5;1047541124;30054000000;2037000000;32611169;59022863.5;146424809.5;118792062;0.09677885;0.0961671;63622;1354078038
LKOH.ME;Oil & Gas Integrated;Energy;Russia;2019;11536.25098;9.353249615;284.1168005;863570770;242913690;6501679;236412011;627158759;32410300000;29784300000;281479633.5;240974442.5;254384002.5;341946227;2.4978976;2.4978976;1821791.5;1504326285
LSNG.ME;Utilities—Regulated Electric;Utilities;Russia;2020;10169.08691;9.227107703;503.8552216;46173315356;35985798560;24547040125;14945829423;31227485933;3.20481E+12;1.90893E+12;72127772;1419288141;777262633;2896758600;0.1433942;0.1433942;2367472.5;13466763519
LSNG.ME;Utilities—Regulated Electric;Utilities;Russia;2021;12194.77734;9.408763052;333.509323;48813515794;37472707098;25718932895;15815227723;32998288071;3.42149E+12;1.98631E+12;116234947;1790546981;1117265942;3070677902;0.18193445;0.18193445;2427424;13707408840
LSNG.ME;Utilities—Regulated Electric;Utilities;Russia;2022;12011.85568;9.393649415;577.1421162;50960821916;38814917186;25779947616;17023063253;33937758663;3.58322E+12;2.0079E+12;89125857.5;2040296365;2122015154;3660205471;0.210442;0.210442;2201076.5;16121787883
LSNG.ME;Utilities—Regulated Electric;Utilities;Russia;2020;10169.08691;9.227107703;503.8552216;1644912797;1004555899;552139734.2;645916971.6;998995825.1;1.14375E+11;45298230000;31059036.9;30496349.25;55705465.6;98610674.2;0.089476794;0.089476794;0;828960891.4
MAGN.ME;Steel;Basic Materials;Russia;2021;12194.77734;9.408763052;333.509323;2335666394;1447388265;446935985.5;1444574215;891092179;1.09282E+11;52087000000;103915892.6;359614790.5;426531676;524339489.5;0.23968365;0.23968365;2448223.5;3178683588
MAGN.ME;Steel;Basic Materials;Russia;2022;12011.85568;9.393649415;577.1421162;2613612560;1672290812;420700475;1672290812;941321748;1.26465E+11;49569400000;128947356.7;420652758.5;415556881;595954615;0.2804262;0.2804262;2977999;5273467302
